,Name,COLOR
0,CUSTOMER_BANK_DETAILS,lightblue
1,CUSTOMER_ORDER,lightblue
2,CUSTOMER_SUBSCRIPTION_DETAILS,lightblue
3,INVESTOR_OVERVIEW,lightblue
4,VENDOR_PERFORMANCE_ANALYSIS,lightblue
5,accounts,black
6,customers,black
7,deliveries,black
8,delivery_items,black
9,dividends,black
10,investors,black
11,loans,black
12,market_data,black
13,order_items,black
14,orders,black
15,payments,black
16,portfolios,black
17,product_reviews,black
18,products,black
19,reviews,black
20,stocks,black
21,subscription_reviews,black
22,subscriptions,black
23,trades,black
24,transactions,black
25,vendors,black
